frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
250,6.0,[860.3065086856212 1570.9825533221547 1647.1489500550592 2152.2259865287183],[1138.398681640625 1959.806396484375 1349.7254638671875 2053.740234375],0.6380486488342285,GX15OGJ,0.5489170122051715
251,1.0,[2044.8005291738734 1184.3279223887753 2594.0491358760614 1649.384292886144],[2248.65673828125 1472.9923095703125 2446.375732421875 1561.1971435546875],0.2872023582458496,AP05JEO,0.34065725088354665
252,6.0,[853.6738731376861 1582.5414272443904 1645.7622201169295 2153.798091385142],[1126.0147705078125 1972.78125 1338.1072998046875 2069.336669921875],0.6538512110710144,GX15OGJ,0.2662483366341492
252,1.0,[2046.8633102452225 1186.0532067133277 2595.02808901033 1652.4108175658544],[2225.70361328125 1468.2066650390625 2446.208740234375 1560.5086669921875],0.3763565421104431,AP05JEO,0.3665153380874217
253,6.0,[852.541912637449 1585.9056150838262 1646.0375001144694 2153.137587152455],[1126.1209716796875 1972.8245849609375 1337.927734375 2069.1591796875],0.653294563293457,GX15OGJ,0.2662483366341492
253,1.0,[2048.2800864884794 1186.4973876308313 2595.2857155152233 1653.7654500757362],[2225.762939453125 1468.20556640625 2446.17333984375 1560.4632568359375],0.3776231110095978,AP05JEO,0.3665153380874217
254,6.0,[850.4458943175891 1590.1812008636468 1644.646831546243 2152.6555116166983],[1122.0799560546875 1979.41162109375 1341.265625 2071.58935546875],0.6210192441940308,GX15OGJ,0.2717243769652166
255,6.0,[847.9367317095188 1594.1803990516216 1642.8525756313015 2151.5509081820824],[1131.7310791015625 1983.9378662109375 1337.250732421875 2077.388916015625],0.6300129294395447,GX15OGJ,0.5807922152810687
255,1.0,[2050.8840016358185 1187.2595166964534 2596.78619040319 1656.692859771787],[2225.149658203125 1476.4791259765625 2447.5244140625 1559.317138671875],0.37143218517303467,AP05JEO,0.22430651917598493
256,6.0,[845.0272644345253 1598.9128511112087 1641.610012437912 2151.2825230132144],[1108.118408203125 1982.20751953125 1333.3634033203125 2079.5947265625],0.6071643233299255,GX15OGJ,0.39069700894691795
257,6.0,[841.0899599396846 1603.996456620454 1640.4666982523106 2151.320742115918],[1118.8223876953125 1991.39208984375 1332.8162841796875 2083.601806640625],0.6290503144264221,GX15OGJ,0.3054484219006404
257,1.0,[2051.821027435676 1190.5531251720558 2596.579189215312 1662.7185899347537],[2235.8203125 1486.695556640625 2426.775390625 1561.133056640625],0.2772478461265564,AP05JEO,0.38892275500109524
258,6.0,[838.9142514100163 1606.079884567087 1640.2877065585435 2149.6859537450714],[1114.5245361328125 1995.9869384765625 1339.254638671875 2089.045166015625],0.6125199794769287,GX15OGJ,0.17176053284645207
259,6.0,[837.8823179650424 1607.3294776126609 1640.806586564405 2148.246635447829],[1114.5699462890625 1996.0394287109375 1339.1312255859375 2089.09130859375],0.6131382584571838,GX15OGJ,0.2833985150440024
260,6.0,[835.1956857843143 1610.06193327213 1641.118471393599 2147.9135526780683],[1118.4080810546875 2011.9002685546875 1322.997802734375 2099.40771484375],0.6598424911499023,GX15OGJ,0.559669254343557
260,13.0,[2243.2780460170625 1624.992585449519 2978.3275055384756 2146.923293319119],[2512.95703125 1986.122314453125 2728.776611328125 2085.5947265625],0.46611151099205017,LN13VCV,0.2629239253773161
261,13.0,[2243.2948235774224 1628.7909877187165 2980.2651878337906 2145.460184149494],[2511.20166015625 1987.1368408203125 2726.779052734375 2089.84130859375],0.6152048110961914,LN13VCV,0.37890985857268655
262,13.0,[2243.2557040699317 1633.1487058821617 2982.7370380315156 2145.553668603972],[2501.985107421875 1999.98828125 2730.295654296875 2095.39453125],0.43374860286712646,LM13VCY,0.41196865024422813
263,1.0,[2049.7807704481734 1202.0133101342644 2601.3665251496864 1676.6509286395371],[2239.341796875 1493.0853271484375 2450.236083984375 1583.605712890625],0.47227099537849426,IP05JEO,0.11127820763777688
263,8.0,[1115.0686167783904 1108.3099886621262 1615.3177393116714 1535.2609527596965],[1282.83154296875 1357.1712646484375 1438.14013671875 1436.572021484375],0.25791239738464355,KH05ZZK,0.05454922649881259
264,13.0,[2243.921392309674 1641.519490323252 2982.7755126111906 2145.340654234924],[2510.487548828125 2012.4354248046875 2736.945068359375 2108.624267578125],0.6722916960716248,LN13VCY,0.39333161284316753
264,1.0,[2048.282539506604 1205.4848720797017 2601.7691464106992 1680.281229820363],[2230.421630859375 1491.81591796875 2449.60107421875 1581.470947265625],0.45197466015815735,AP05JEO,0.08955057150988344
265,13.0,[2244.7848771169683 1643.860868653214 2982.7115247002466 2144.8527605657864],[2510.52685546875 2011.7490234375 2737.370361328125 2108.599365234375],0.672214150428772,LN13VCY,0.1683413044268502
265,1.0,[2047.3969964624391 1206.6813036721958 2602.196482024984 1681.5600735445207],[2230.3359375 1491.717529296875 2449.755615234375 1581.625244140625],0.45520269870758057,AP05JEO,0.08955057150988344
266,6.0,[833.5227049918985 1634.1339642055352 1633.646977524109 2151.8368375116406],[1085.2203369140625 2030.098388671875 1324.7098388671875 2121.874755859375],0.6582087278366089,GX15OGJ,0.29648683051988645
266,13.0,[2245.6411596093667 1648.6416269161718 2984.5910748786 2146.5194433076936],[2515.622314453125 2007.6405029296875 2743.6435546875 2115.376708984375],0.6511563062667847,LM13VCY,0.15203788208282024
266,1.0,[2046.5676726089987 1208.6633876085393 2604.200298770792 1682.8866486712113],[2232.297607421875 1501.5120849609375 2423.423095703125 1583.6656494140625],0.29628071188926697,AP05JED,0.11605028421413835
267,13.0,[2243.7237901313097 1652.087151746494 2984.5929064111965 2147.7597874913718],[2511.99560546875 2015.4056396484375 2736.45361328125 2121.397705078125],0.6695536971092224,LM13VCV,0.3621105296923741
267,6.0,[831.584820261751 1636.811987808293 1629.0074658198407 2152.2811139395326],[1088.3941650390625 2043.355224609375 1320.9813232421875 2136.58740234375],0.6247920393943787,GX15OGJ,0.494560977969083
268,13.0,[2241.3391462483323 1656.0614967453364 2983.90447287227 2150.536755413476],[2510.75634765625 2018.0657958984375 2737.19921875 2124.863037109375],0.6397600173950195,LM13VCV,0.4994286125846657
269,13.0,[2241.318130043763 1661.1025261890695 2985.6317254668406 2154.02709166904],[2510.423095703125 2027.44482421875 2746.558837890625 2140.8369140625],0.6507797241210938,LM13VCV,0.4392691324424414
270,1.0,[2042.9044143990736 1215.545248372494 2606.602666875899 1690.481593467577],[2243.89453125 1514.3006591796875 2424.08203125 1596.096435546875],0.3405417203903198,AP05JEO,0.24879549367223713
271,13.0,[2243.181712509674 1666.945030577225 2989.2558121074135 2155.3485241502126],[2516.35205078125 2034.09521484375 2745.2958984375 2135.84716796875],0.6457905769348145,LM13VCV,0.1960076554956816
271,1.0,[2041.994319150987 1216.601201091224 2607.4335914531653 1692.111641905788],[2240.29248046875 1513.3388671875 2431.818603515625 1596.119384765625],0.35791802406311035,AP05JEO,0.08920881321334907
272,13.0,[2244.9561661764224 1671.516992667487 2989.6078733140607 2157.762186617921],[2512.595458984375 2033.5067138671875 2754.398681640625 2144.486083984375],0.6905056834220886,LN13VCV,0.2657368930933007
272,1.0,[2041.7091497200195 1218.685667619718 2609.948467548588 1694.959293693812],[2238.004638671875 1508.107177734375 2447.2568359375 1599.96240234375],0.4778172969818115,AP05JEO,0.11487988052909069
273,13.0,[2246.0592155665768 1673.953182160416 2993.3770900610875 2155.971734783531],[2513.813232421875 2043.7841796875 2750.61181640625 2149.0283203125],0.6413848996162415,LM13VCY,0.43473841724956314
273,1.0,[2041.4548997944876 1220.8004957360074 2611.500316327705 1698.5623286060566],[2251.119384765625 1516.5596923828125 2460.66455078125 1609.9530029296875],0.5491337180137634,AP05JEO,0.1901615183977862
274,1.0,[2042.396833573882 1222.5965804624484 2614.1802928847655 1701.2069512300977],[2250.250732421875 1516.928466796875 2466.499755859375 1616.1650390625],0.6392161250114441,AP05JEO,0.2121516999801745
274,13.0,[2248.7368496955996 1678.5190119505114 2996.219300113651 2155.96925131864],[2522.031982421875 2053.0927734375 2752.217529296875 2155.761474609375],0.6028069853782654,LM13VCV,0.33926810110589095
274,8.0,[1099.8387704203005 1124.6849203679642 1608.6850389229412 1562.20354076717],[1251.6783447265625 1373.428466796875 1429.630859375 1461.1077880859375],0.3067625164985657,YH05ZIK,0.024261786272477985
275,1.0,[2044.5052220734433 1226.0681767407787 2616.235012404629 1705.0153941270678],[2241.414306640625 1522.5230712890625 2457.35791015625 1605.8148193359375],0.5656705498695374,AP05JEO,0.499831533199366
